participant,S1701_C03_001E,S1903_C03_001E,left,right,choice,points,RT,i1,e1,i2,e2,u1,u2,stai,income,education,platform,IPAddress,age,Dim.1,Dim.2,high_income,high_anxiety,heart,dollar,effort,left_choice,right_choice,split,ui_leftsplit,ui_rightsplit,huli,luhi,RecordedDate,ResponseId,round,Optimal,poverty_zip,median_income_zip,chosen_i,chosen_e,chosen_u,not_chosen_i,not_chosen_e,not_chosen_u,logRT
56fdff4ee0f9ff000f19c466,4,134719,Icecreams/c1-sc2-1.png,Icecreams/c1-sc3-2.png,L,0,5.295799999952317,1,1,2,1,1,1,50,2,5,Prolific,100.38.113.248,75,2.692062059992843,-1.289029822177397,Low Income,High Anxiety,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,NA,NA,2022-01-11 03:05:42,R_1hXwt64OqbyS0UY,1,TRUE,-0.9569263166023829,11.810946406645755,0,0,0,1,0,0,1.666914053562159
56fdff4ee0f9ff000f19c466,4,134719,Icecreams/c1-sc3-2.png,Icecreams/c1-sc3-2.png,R,1,1.441900000095366,2,1,2,1,1,1,50,2,5,Prolific,100.38.113.248,75,2.692062059992843,-1.289029822177397,Low Income,High Anxiety,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,NA,NA,2022-01-11 03:05:42,R_1hXwt64OqbyS0UY,2,FALSE,-0.9569263166023829,11.810946406645755,1,0,0,1,0,0,0.36596168839660326
56fdff4ee0f9ff000f19c466,4,134719,Icecreams/c1-sc3-2.png,Icecreams/c1-sc2-sp1-t3-U2.png,L,3,2.032700000047683,2,1,2,2,1,2,50,2,5,Prolific,100.38.113.248,75,2.692062059992843,-1.289029822177397,Low Income,High Anxiety,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,NA,NA,2022-01-11 03:05:42,R_1hXwt64OqbyS0UY,3,FALSE,-0.9569263166023829,11.810946406645755,1,0,0,1,1,1,0.7093649586062372
56fdff4ee0f9ff000f19c466,4,134719,Icecreams/c1-sc2-sp1-t3-U1.png,Icecreams/c1-sc3-sp3-t3-U2.png,L,5,1.5569000000953679,1,2,2,2,2,2,50,2,5,Prolific,100.38.113.248,75,2.692062059992843,-1.289029822177397,Low Income,High Anxiety,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,NA,NA,2022-01-11 03:05:42,R_1hXwt64OqbyS0UY,4,FALSE,-0.9569263166023829,11.810946406645755,0,1,1,1,1,1,0.4426966647747468
56fdff4ee0f9ff000f19c466,4,134719,Icecreams/c1-sc3-sp3-t3-U1.png,Icecreams/c1-sc3-sp2-t1-U1.png,R,6,1.3092999999523158,1,2,1,2,2,2,50,2,5,Prolific,100.38.113.248,75,2.692062059992843,-1.289029822177397,Low Income,High Anxiety,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,NA,NA,2022-01-11 03:05:42,R_1hXwt64OqbyS0UY,5,TRUE,-0.9569263166023829,11.810946406645755,0,1,1,0,1,1,0.269492643215151
56fdff4ee0f9ff000f19c466,4,134719,Icecreams/c1-sc3-U1.png,Icecreams/c1-sc3-U2.png,L,11,3.8058999998569334,1,1,2,1,2,2,50,2,5,Prolific,100.38.113.248,75,2.692062059992843,-1.289029822177397,Low Income,High Anxiety,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,NA,NA,2022-01-11 03:05:42,R_1hXwt64OqbyS0UY,8,TRUE,-0.9569263166023829,11.810946406645755,0,0,1,1,0,1,1.3365524941874605
56fdff4ee0f9ff000f19c466,4,134719,Icecreams/c1-sc3-U1.png,Icecreams/c1-sc3-U1.png,L,12,1.6997000000476987,1,1,1,1,2,2,50,2,5,Prolific,100.38.113.248,75,2.692062059992843,-1.289029822177397,Low Income,High Anxiety,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,NA,NA,2022-01-11 03:05:42,R_1hXwt64OqbyS0UY,9,TRUE,-0.9569263166023829,11.810946406645755,0,0,1,0,0,1,0.5304517649292317
56fdff4ee0f9ff000f19c466,4,134719,Icecreams/c1-sc1-sp2-t2-1.png,Icecreams/c1-sc1-U2.png,R,17,1.9762000000476974,1,2,2,1,1,2,50,2,5,Prolific,100.38.113.248,75,2.692062059992843,-1.289029822177397,Low Income,High Anxiety,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,NA,NA,2022-01-11 03:05:42,R_1hXwt64OqbyS0UY,12,FALSE,-0.9569263166023829,11.810946406645755,1,0,1,0,1,0,0.6811758088028612
56fdff4ee0f9ff000f19c466,4,134719,Icecreams/c1-sc1-sp2-t2-1.png,Icecreams/c1-sc1-2.png,R,19,1.1192000000476696,1,2,2,1,1,1,50,2,5,Prolific,100.38.113.248,75,2.692062059992843,-1.289029822177397,Low Income,High Anxiety,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,NA,NA,2022-01-11 03:05:42,R_1hXwt64OqbyS0UY,13,FALSE,-0.9569263166023829,11.810946406645755,1,0,0,0,1,0,0.11261414441172694
56fdff4ee0f9ff000f19c466,4,134719,Icecreams/c1-sc1-sp2-t2-1.png,Icecreams/c1-sc3-sp3-t3-1.png,R,21,2.2993000001907262,1,2,1,2,1,1,50,2,5,Prolific,100.38.113.248,75,2.692062059992843,-1.289029822177397,Low Income,High Anxiety,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,NA,NA,2022-01-11 03:05:42,R_1hXwt64OqbyS0UY,14,FALSE,-0.9569263166023829,11.810946406645755,0,1,0,0,1,0,0.832604728868768
